,alpha,gamma,epsilon,accuracy
0,0.5,0.3,0.1,0.974
1,0.5,0.3,0.2,0.948
2,0.5,0.3,0.3,0.877
3,0.5,0.3,0.4,0.784
4,0.5,0.4,0.1,0.973
5,0.5,0.4,0.2,0.939
6,0.5,0.4,0.3,0.867
7,0.5,0.4,0.4,0.764
8,0.5,0.5,0.1,0.973
9,0.5,0.5,0.2,0.923
10,0.5,0.5,0.3,0.847
11,0.5,0.5,0.4,0.75
12,0.5,0.6,0.1,0.957
13,0.5,0.6,0.2,0.924
14,0.5,0.6,0.3,0.843
15,0.5,0.6,0.4,0.75
16,0.5,0.7,0.1,0.971
17,0.5,0.7,0.2,0.912
18,0.5,0.7,0.3,0.837
19,0.5,0.7,0.4,0.752
20,0.6,0.3,0.1,0.97
21,0.6,0.3,0.2,0.93
22,0.6,0.3,0.3,0.872
23,0.6,0.3,0.4,0.793
24,0.6,0.4,0.1,0.979
25,0.6,0.4,0.2,0.924
26,0.6,0.4,0.3,0.862
27,0.6,0.4,0.4,0.783
28,0.6,0.5,0.1,0.957
29,0.6,0.5,0.2,0.915
30,0.6,0.5,0.3,0.843
31,0.6,0.5,0.4,0.76
32,0.6,0.6,0.1,0.96
33,0.6,0.6,0.2,0.912
34,0.6,0.6,0.3,0.835
35,0.6,0.6,0.4,0.781
36,0.6,0.7,0.1,0.96
37,0.6,0.7,0.2,0.891
38,0.6,0.7,0.3,0.837
39,0.6,0.7,0.4,0.752
40,0.7,0.3,0.1,0.964
41,0.7,0.3,0.2,0.909
42,0.7,0.3,0.3,0.852
43,0.7,0.3,0.4,0.759
44,0.7,0.4,0.1,0.961
45,0.7,0.4,0.2,0.912
46,0.7,0.4,0.3,0.833
47,0.7,0.4,0.4,0.773
48,0.7,0.5,0.1,0.951
49,0.7,0.5,0.2,0.902
50,0.7,0.5,0.3,0.844
51,0.7,0.5,0.4,0.755
52,0.7,0.6,0.1,0.954
53,0.7,0.6,0.2,0.888
54,0.7,0.6,0.3,0.835
55,0.7,0.6,0.4,0.761
56,0.7,0.7,0.1,0.943
57,0.7,0.7,0.2,0.882
58,0.7,0.7,0.3,0.821
59,0.7,0.7,0.4,0.755
60,0.8,0.3,0.1,0.958
61,0.8,0.3,0.2,0.926
62,0.8,0.3,0.3,0.866
63,0.8,0.3,0.4,0.779
64,0.8,0.4,0.1,0.954
65,0.8,0.4,0.2,0.921
66,0.8,0.4,0.3,0.847
67,0.8,0.4,0.4,0.776
68,0.8,0.5,0.1,0.961
69,0.8,0.5,0.2,0.896
70,0.8,0.5,0.3,0.851
71,0.8,0.5,0.4,0.732
72,0.8,0.6,0.1,0.941
73,0.8,0.6,0.2,0.888
74,0.8,0.6,0.3,0.827
75,0.8,0.6,0.4,0.762
76,0.8,0.7,0.1,0.92
77,0.8,0.7,0.2,0.878
78,0.8,0.7,0.3,0.801
79,0.8,0.7,0.4,0.707
80,0.9,0.3,0.1,0.976
81,0.9,0.3,0.2,0.913
82,0.9,0.3,0.3,0.882
83,0.9,0.3,0.4,0.788
84,0.9,0.4,0.1,0.959
85,0.9,0.4,0.2,0.915
86,0.9,0.4,0.3,0.817
87,0.9,0.4,0.4,0.731
88,0.9,0.5,0.1,0.938
89,0.9,0.5,0.2,0.898
90,0.9,0.5,0.3,0.831
91,0.9,0.5,0.4,0.733
92,0.9,0.6,0.1,0.941
93,0.9,0.6,0.2,0.883
94,0.9,0.6,0.3,0.813
95,0.9,0.6,0.4,0.716
96,0.9,0.7,0.1,0.916
97,0.9,0.7,0.2,0.841
98,0.9,0.7,0.3,0.769
99,0.9,0.7,0.4,0.675
